Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
DEN,WAS,Jamal Murray  ,K. Caldwell-Pope  ,M. Porter  ,Aaron Gordon  , Nikola Jokic ,Monte Morris  ,Bradley Beal  ,Corey Kispert  ,K. Porzingis  , D. Gafford ,Expected Lineup             ,Expected Lineup             
GSW,DAL,Stephen Curry  ,Klay Thompson  ,D. DiVincenzo  ,D. Green GTD  , K. Looney GTD ,L. Doncic GTD  ,K. Irving GTD  ,Josh Green  ,R. Bullock  , Dwight Powell ,Expected Lineup             ,Expected Lineup             
NYK,MIA,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,Gabe Vincent  ,Tyler Herro  ,Jimmy Butler  ,Kevin Love  , Bam Adebayo ,Expected Lineup             ,Expected Lineup             
IND,TOR,A. Nembhard  ,Buddy Hield  ,B. Mathurin  ,Aaron Nesmith  , Myles Turner ,Fred VanVleet  ,OG Anunoby  ,S. Barnes GTD  ,Pascal Siakam  , Jakob Poeltl ,Expected Lineup             ,Expected Lineup             
PHI,CHI,J. Harden GTD  ,Tyrese Maxey  ,Tobias Harris  ,P. Tucker GTD  , Joel Embiid ,P. Beverley  ,A. Caruso GTD  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Expected Lineup             ,Expected Lineup             
SAS,MIL,Tre Jones GTD  ,D. Vassell GTD  ,K. Johnson GTD  ,J. Sochan GTD  , Z. Collins GTD ,Jrue Holiday  ,Grayson Allen  ,K. Middleton  ,G. Antetokounmpo  , Brook Lopez ,Expected Lineup             ,Expected Lineup             
ATL,MIN,Trae Young  ,D. Murray GTD  ,D. Hunter  ,John Collins  , Clint Capela ,Mike Conley  ,A. Edwards GTD  ,Kyle Anderson  ,K. Towns GTD  , Rudy Gobert ,Expected Lineup             ,Expected Lineup             
HOU,MEM,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Ja Morant  ,Desmond Bane  ,John Konchar  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
POR,UTA,D. Lillard  ,Cam Reddish  ,M. Thybulle  ,T. Watford  , Jusuf Nurkic ,T. Horton-Tucker  ,Ochai Agbaji  ,L. Markkanen GTD  ,Kelly Olynyk  , W. Kessler ,Expected Lineup             ,Expected Lineup             
PHX,LAL,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Torrey Craig  , B. Biyombo ,D. Russell  ,Malik Beasley  ,Troy Brown  ,J. Vanderbilt  , A. Davis GTD ,Expected Lineup             ,Expected Lineup             
